url,title,price,brand,description,image_url,scraped_at,spec_Bàn_Phím,spec_Bảo_hành,spec_CPU,spec_Camera,spec_Card_màn_hình,spec_Chất_liệu_vỏ,spec_Cổng_kết_nối,spec_Hệ_điều_hành,spec_Kích_thước,spec_Kết_nối_không_dây,spec_Pin,spec_Ram,spec_Sạc,spec_Trọng_lượng,spec_Tình_trạng,spec_Độ_phân_giải,spec_Ổ_cứng
https://sazo.vn/products/xiaoxin-pro-14c-2025-ryzen-7-h-255-24gb-ram-1tb-ssdlenovo-ideapad-slim-5,Xiaoxin Pro 14c 2025 (Ryzen 7 H 255| 24GB RAM| 1TB SSD)(Lenovo IdeaPad Slim 5),"18,490,000₫",Lenovo,,,2025-08-01 18:50:56,"Rút gọn, led trắng",12 tháng,"AMD Ryzen™ 7 H 255 (3.8 GHz up to 4.9 GHz, 8 Cores, 16 Threads, 16MB Cache)",FHD camera,Radeon 780M Graphics,Kim loại,"2x USB-A 3.2Gen1, 2x USB type C, 1x HDMI® 2.0 , 1x jack tai Nghe 3.5mm, 1x khe đọc ghi thẻ microSD",Windows 11 Home,31.2 x 22.1 x 1.55 cm,Wifi + Bluetooth,60wh,24GB DDR5-4800Mhz (có hỗ trợ nâng cấp),100W,~1.39 kg,"Mới 100% - FullBox, nhập khẩu","14″ 2.8K (2880x1800) OLED, màn gương, không cảm ứng, tần số quét màn 120Hz, tỷ lệ khung hình 16:10, độ sáng 500nits, hãng công bố có thể đạt tới tận 1100nits, Chỉ số Delta E <1, độ phủ màu 99% AdobeRGB, 100% sRGB, 100% DCI-P3, chứng chỉ màn bảo vệ mắt Eyesafe® Certified 2.0, DisplayHDR™ True Black 1000",1TB PCIe® 4.0 x4 NVME 2242 M.2 SSD
https://sazo.vn/products/xiaoxin-pro-16c-2025-ryzen-7-h-255-24gb-ram-1tb-ssdlenovo-ideapad-slim-5,Xiaoxin Pro 16c 2025 (Ryzen 7 H 255| 24GB RAM| 1TB SSD)(Lenovo IdeaPad Slim 5),"18,600,000₫",Lenovo,,,2025-08-01 18:50:58,"Rút gọn, led trắng",12 tháng,"AMD Ryzen™ 7 H 255 (3.8 GHz up to 4.9 GHz, 8 Cores, 16 Threads, 16MB Cache)",FHD camera,Radeon 780M Graphics,Kim loại,"2x USB-A 3.2Gen1, 2x USB type C, 1x HDMI® 2.0 , 1x jack tai Nghe 3.5mm, 1x khe đọc ghi thẻ microSD",Windows 11 Home,16.9mm,Wifi + Bluetooth,80wh,24GB DDR5-4800Mhz (có hỗ trợ nâng cấp),100W,~1.76 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.8K (2880x1800) OLED, màn gương, không cảm ứng, tần số quét màn 120Hz, tỷ lệ khung hình 16:10, độ sáng 500nits, hãng công bố có thể đạt tới tận 1100nits, Chỉ số Delta E <1, độ phủ màu 99% AdobeRGB, 100% sRGB, 100% DCI-P3, chứng chỉ màn bảo vệ mắt Eyesafe® Certified 2.0, DisplayHDR™ True Black 1000",1TB PCIe® 4.0 x4 NVME 2242 M.2 SSD
https://sazo.vn/products/xiaoxin-pro-16c-2025-ai-7-h-350-32gb-ram-1tb-ssdlenovo-ideapad-slim-5,Xiaoxin Pro 16c 2025 (AI 7 H 350| 32GB RAM| 1TB SSD)(Lenovo IdeaPad Slim 5),"22,490,000₫",Lenovo,,,2025-08-01 18:51:00,"Rút gọn, led trắng",12 tháng,"AMD Ryzen AI 7 H 350 (8 nhân 16 luồng, xung nhịp cơ bản ~2GHz, tối đa có thể đạt ~5GHz, 8MB L2 Cache, 16MB L3 Cache, default TDP 28W, 4nm, Zen 5)",FHD camera,AMD Radeon™ 860M,Kim loại,"2x USB-A 3.2Gen1, 2x USB type C, 1x HDMI® 2.0 , 1x jack tai Nghe 3.5mm, 1x khe đọc ghi thẻ microSD",Windows 11 Home,16.9mm,Wifi + Bluetooth,80wh,32GB DDR5-5600Mhz (có hỗ trợ nâng cấp),100W,~1.76 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.8K (2880x1800) OLED, màn gương, không cảm ứng, tần số quét màn 120Hz, tỷ lệ khung hình 16:10, độ sáng 500nits, hãng công bố có thể đạt tới tận 1100nits, Chỉ số Delta E <1, độ phủ màu 99% AdobeRGB, 100% sRGB, 100% DCI-P3, chứng chỉ màn bảo vệ mắt Eyesafe® Certified 2.0, DisplayHDR™ True Black 1000",1TB PCIe® 4.0 x4 NVME 2242 M.2 SSD
https://sazo.vn/products/thinkbook-16-g7-2025-ai-7-h-260-32gb-ram-1tb-ssd,Thinkbook 16 G7+ 2025 (R7 H 260| 32GB RAM| 1TB SSD),"21,390,000₫",Lenovo,,,2025-08-01 18:51:01,có led phím,12 tháng,"AMD Ryzen 7 H 260 (8 nhân 16 luồng, xung nhịp cơ bản ~2GHz, tối đa có thể đạt ~5.1GHz, 16 Tops NPU)",FHD IR camera,AMD Radeon™ 780M,Kim loại,"2x cổng USB-A 3.2 Gen 1, , 1x khe đọc-ghi thẻ SD, , 1x khe cắm chìm USB-A 2.0, , 1x USB-C 3.2 Gen 2, , 1x cổng HDMI 2.1, , 1x cổng Thunderbolt 4 type C,, 1x Cổng mạng LAN, , 1x jack tai nghe, , 1x khe khóa vật lý",Windows 11 Home,35.6 x 25.1 x 1.69cm,Wifi 6 + Bluetooth 5.3,85wh,32GB LPDDR5x 7500MHz (không hỗ trợ nâng cấp),100W,1.9 kg,"Mới 100% - FullBox, nhập khẩu","16"" 3.2K (3200×2000) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, tỷ lệ tương phản 1200:1, độ sáng ~500nits, tần số quét 165Hz, 100% DCI-P3, chỉ số DeltaE <1, Dolby® Vison, NVIDIA® G-SYNC®, TÜV Low Blue Light.",1TB PCIe® NVMe™ M.2 SSD
https://sazo.vn/products/thinkbook-14-g7-2025-ai-7-h-260-32gb-ram-1tb-ssd,Thinkbook 14 G7+ 2025 (R7 H 260| 32GB RAM| 1TB SSD),"20,490,000₫",Lenovo,,,2025-08-01 18:51:03,"Rút gọn, có led phím",12 tháng,"AMD Ryzen 7 H 260 (8 nhân 16 luồng, xung nhịp cơ bản ~2GHz, tối đa có thể đạt ~5.1GHz, 16 Tops NPU)",FHD IR camera,AMD Radeon™ 780M,Kim loại,"2x cổng USB-A 3.2 Gen 1, , 1x khe đọc-ghi thẻ microSD, , 1x khe cắm chìm USB-A 2.0, , 1x USB-C 3.2 Gen 2, , 1x cổng HDMI 2.1, , 1x cổng Thunderbolt 4 type C,, 1x Cổng mạng LAN, , 1x jack tai nghe, , 1x khe khóa vật lý",Windows 11 Home,31.2 x 22.4 x 1.59cm,Wifi 6 + Bluetooth 5.3,85wh,32GB LPDDR5x 7500MHz (không hỗ trợ nâng cấp),100W,1.5 kg,"Mới 100% - FullBox, nhập khẩu","14.5"" 3K (3072×1920) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, tỷ lệ tương phản 1200:1, độ sáng ~500nits, tần số quét 120Hz, 100% DCI-P3, chỉ số DeltaE <1, Dolby® Vison, TÜV Low Blue Light.",1TB PCIe® NVMe™ M.2 SSD
https://sazo.vn/products/thinkpad-x1-carbon-gen-13-ultra-5-225h-32gb-ram-1tb-ssdaura-edition,Thinkpad X1 Carbon Gen 13 (Ultra 5-225H| 32GB RAM| 1TB SSD)(Aura Edition),"44,500,000₫",Lenovo,,,2025-08-01 18:51:05,Đèn nền trắng,12 tháng,"Intel Core Ultra 5-225H (14 nhân 14 luồng, xung nhịp tối đa với Turbo Boost tới 4.9GHz, 18 MB Cache)","1080P IR Camera, fingerprint reader",Intel® Arc™ 130T (onboard),Nhựa carbon cao cấp,"2 x USB-C® (Thunderbolt™ 4, USB 40Gbps) , 2 x USB-A (USB 5Gbps) , Headphones / mic combo , HDMI 2.1 (supports resolution up to 4K@60Hz)",Windows 11 Home,31.28cm x 21.47cm x 0.8-1.43cm,Wifi 7 + Bluetooth 5.4,57 Wh,32 GB RAM LPDDR5X 8400 MT/s (không hỗ trợ nâng cấp),65 W,~1.09 kg,"Mới 100% - FullBox, nhập khẩu","14"" 2.8K 3A-OLED (2880x1800) anti-glare (chống loá), anti-reflective (chống chói), anti-smudge (chống bám bẩn), KHÔNG CẢM ỨNG, độ sáng 400nits, độ phủ màu 100% DCI-P3, tỷ lệ tương phản 1000000:1, tỷ lệ khung hình 16:10, tần số quét 120Hz, Display HDR, True Black 500 …",1TB PCIe SSD Gen 4
https://sazo.vn/products/thinkbook-16p-2025-25k-ultra-7-255hx-32gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 2.5k (Ultra 7-255HX| 32GB RAM| 1TB SSD| RTX 5060),"40,000,000₫",Lenovo,,,2025-08-01 18:51:07,"Full size, có led phím",12 tháng,"Intel Core Ultra 7 255HX (20 nhân (gồm 8 nhân P và 12 nhân E) 20 luồng, xung nhịp cơ bản từ 1.8GHz có thể đạt max với turbo boost lên tới 5.2GHz, 36MB Cache)",FHD IR camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Thunderbolt 4;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,32GB DDR5-5600MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 240Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16-g7-2025-ultra-9-285h-32gb-ram-1tb-ssd-rtx-5060,Thinkbook 16 G7+ 2025 (Ultra 9-285H| 32GB RAM| 1TB SSD| RTX 5060),"38,000,000₫",Lenovo,,,2025-08-01 18:51:09,"Fullsize, có led phím",12 tháng,"Intel® Core™ Ultra 9 285H (16 nhân, 16 luồng, xung nhịp có thể đạt tới 5.4GHz với turbo boost, 24 MB Intel® Smart Cache) Intel AI Boost",FHD IR camera,Intel® Arc™ 140T GPU + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1, , 1x khe đọc-ghi thẻ microSD, , 1x Khe cắm chìm USB-A 2.0, , 1x USB-C 3.2 Gen 2, , 1x cổng HDMI 2.1, , 1x cổng Thunderbolt 4 type C, , 1x Cổng mạng LAN,, 1x jack tai nghe, , 1x khe khóa vật lý, , 1x cổng TGX",Windows 11 Home,35.6 x 24.8 x 1.69cm,Wifi 7 + Bluetooth 5.4,85wh,32GB DDR5 5600MHz (có hỗ trợ nâng cấp),100W,~1.9 kg,"Mới 100% - FullBox, nhập khẩu","16"" 3.2K (3200×2000) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, tỷ lệ tương phản 1200:1, độ sáng lên tới 500nits, tần số quét 165Hz, 100% DCI-P3, chỉ số DeltaE <1, Dolby® Vison, TÜV Low Blue Light. (các thông số này công bố trên trang của chính",1TB PCIe® NVMe™ M.2 SSD
https://sazo.vn/products/thinkbook-16p-2025-25k-240hz-r9-8945hx-32gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 2.5k 240Hz (R9-8945HX| 32GB RAM| 1TB SSD| RTX 5060),"36,900,000₫",Lenovo,,,2025-08-01 18:51:10,"Full size, có led phím",12 tháng,"AMD Ryzen 9 8945HX (16 nhân 32 luồng, xung nhịp cơ bản 2.5GHz có thể đạt tới 5.4GHz đơn nhân với turbo boost, 16MB L2 Cache, 64MB L3 Cache, default TDP 55W)",HD camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Type-C;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,32GB DDR5-5200MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 240Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display, HDR 400",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-25k-240hz-r9-8945hx-16gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 2.5k 240Hz (R9-8945HX| 16GB RAM| 1TB SSD| RTX 5060),"35,690,000₫",Lenovo,,,2025-08-01 18:51:12,"Full size, có led phím",12 tháng,"AMD Ryzen 9 8945HX (16 nhân 32 luồng, xung nhịp cơ bản 2.5GHz có thể đạt tới 5.4GHz đơn nhân với turbo boost, 16MB L2 Cache, 64MB L3 Cache, default TDP 55W)",HD camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Type-C;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,16GB DDR5-5200MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 240Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display, HDR 400",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-25k-165hz-r9-8945hx-16gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 2.5k 165Hz (R9-8945HX| 16GB RAM| 1TB SSD| RTX 5060),"32,500,000₫",Lenovo,,,2025-08-01 18:51:14,"Full size, có led phím",12 tháng,"AMD Ryzen 9 8945HX (16 nhân 32 luồng, xung nhịp cơ bản 2.5GHz có thể đạt tới 5.4GHz đơn nhân với turbo boost, 16MB L2 Cache, 64MB L3 Cache, default TDP 55W)",HD camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Type-C;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,16GB DDR5-5200MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 350nits, tần số quét 165Hz, 100% sRGB, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-25k-ultra-7-255hx-16gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 2.5k (Ultra 7-255HX| 16GB RAM| 1TB SSD| RTX 5060),"38,500,000₫",Lenovo,,,2025-08-01 18:51:16,"Full size, có led phím",12 tháng,"Intel Core Ultra 7 255HX (20 nhân (gồm 8 nhân P và 12 nhân E) 20 luồng, xung nhịp cơ bản từ 1.8GHz có thể đạt max với turbo boost lên tới 5.2GHz, 36MB Cache)",FHD IR camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Thunderbolt 4;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,16GB DDR5-5600MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 240Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-32k-ultra-9-275hx-32gb-ram-1tb-ssd-rtx-5070,ThinkBook 16P 2025 3.2k (Ultra 9-275HX| 32GB RAM| 1TB SSD| RTX 5070),"53,500,000₫",Lenovo,,,2025-08-01 18:51:21,"Full size, có led phím",12 tháng,"Intel Core Ultra 9 275HX (24 nhân (gồm 8 nhân P và 16 nhân E) 24 luồng, xung nhịp cơ bản từ 2.1GHz có thể đạt max với turbo boost lên tới 5.4GHz, 36MB Cache)",FHD IR camera,Intel® Graphics + NVIDIA® GeForce RTX 5070 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Thunderbolt 4;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,32GB(16+16) DDR5-5600MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 3.2K (3200×2000) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 165Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-25k-ultra-9-275hx-32gb-ram-1tb-ssd-rtx-5070,ThinkBook 16P 2025 2.5k (Ultra 9-275HX| 32GB RAM| 1TB SSD| RTX 5070),"52,500,000₫",Lenovo,,,2025-08-01 18:51:21,"Full size, có led phím",12 tháng,"Intel Core Ultra 9 275HX (24 nhân (gồm 8 nhân P và 16 nhân E) 24 luồng, xung nhịp cơ bản từ 2.1GHz có thể đạt max với turbo boost lên tới 5.4GHz, 36MB Cache)",FHD IR camera,Intel® Graphics + NVIDIA® GeForce RTX 5070 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Thunderbolt 4;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,32GB(16+16) DDR5-5600MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 2.5K (2560×1600) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 240Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display, HDR 400",1TB PCIe® 4.0 x4 NVME SSD
https://sazo.vn/products/thinkbook-16p-2025-32k-ultra-9-275hx-32gb-ram-1tb-ssd-rtx-5060,ThinkBook 16P 2025 3.2k (Ultra 9-275HX| 32GB RAM| 1TB SSD| RTX 5060),"48,000,000₫",Lenovo,,,2025-08-01 18:51:23,"Full size, có led phím",12 tháng,"Intel Core Ultra 9 275HX (24 nhân (gồm 8 nhân P và 16 nhân E) 24 luồng, xung nhịp cơ bản từ 2.1GHz có thể đạt max với turbo boost lên tới 5.4GHz, 36MB Cache)",FHD IR camera,Intel® Graphics + NVIDIA® GeForce RTX 5060 Laptop GPU 8GB GDDR7,Kim loại,"2x cổng USB-A 3.2 Gen 1;, 1x cổng USB-A 3.2 Gen 2;, 2x cổng Thunderbolt 4;, 1x HDMI 2.1,, 1x cổng cắm sạc chân slim,, 1x jack tai nghe 3.5mm,, 1x SD Card,",Windows 11 Home,354.6 x 256.2 x 17.9mm,Wifi 7 + Bluetooth 5.4,85whr,32GB(16+16) DDR5-5600MHz (hỗ trợ nâng cấp),300W,~2.2 kg,"Mới 100% - FullBox, nhập khẩu","16″ 3.2K (3200×2000) IPS, màn nhám không cảm ứng, tỷ lệ khung hình 16:10, độ sáng 500nits, tần số quét 165Hz, 100% DCI-P3, chỉ số DeltaE <1, TÜV Low Blue Light, Eyesafe Display",1TB PCIe® 4.0 x4 NVME SSD
